1	10.133,-19.358,66.729,62.934,22.366,-25.308,-48.933,-78.825,-29.020,-17.365
2	35.165,31.632,-85.978,-20.948,-63.644,-68.637,65.460,-91.617,-16.163,-66.359
3	75.866,11.408,-53.724,0.485,46.297,91.624,-55.911,77.236,86.861,83.284
4	27.083,25.964,-19.358,50.480,6.259,35.488,-14.308,46.299,64.894,-70.713
5	66.586,8.059,68.933,-13.740,-24.192,83.012,-49.766,68.842,-3.196,2.819
6	-38.306,14.608,-34.958,-92.146,-45.600,-98.724,95.671,93.149,-20.969,45.674
7	-30.839,34.219,61.086,89.351,-19.958,56.660,-46.814,98.066,-94.846,20.706
8	31.901,37.609,-75.922,87.706,-63.763,24.551,-55.465,-38.557,9.292,-16.561
9	-67.955,-65.813,-16.371,51.457,79.593,-83.174,-21.379,-79.951,-96.682,32.344
10	20.490,-67.396,-53.237,-95.258,66.989,94.938,-72.908,-53.705,73.682,85.293
11	-16.075,-89.876,-92.122,14.790,-21.421,-94.270,16.650,-97.739,57.474,-38.713
12	-91.948,17.670,-20.463,94.760,8.840,-44.952,41.888,-45.702,80.849,-25.056
13	9.974,-89.885,-14.776,66.473,61.130,-55.136,-54.784,63.461,86.080,-80.928
14	-9.988,-32.509,74.138,-83.295,-57.775,50.494,-89.741,-1.493,-11.579,-33.120
15	-21.086,5.988,-67.727,14.399,61.086,52.032,-69.220,-70.150,-46.365,-27.785
16	-18.309,35.939,-88.664,-93.065,-21.618,39.433,-61.313,28.301,-48.034,77.217
17	79.138,-40.543,-54.001,-17.739,-51.894,34.477,65.213,34.618,64.870,-20.602
18	-68.737,47.590,-27.905,34.254,-45.871,-83.754,98.516,-68.760,97.684,95.456
19	58.764,31.885,15.561,73.220,-42.112,-6.464,23.878,-17.762,-14.503,-33.943
20	12.846,70.115,-59.694,86.887,37.818,64.655,11.238,55.903,-96.760,63.676
21	-91.972,77.983,98.393,-41.187,-57.936,53.073,-49.395,73.112,-79.431,-74.809
22	95.830,34.768,69.377,-35.134,35.297,18.848,20.630,36.506,15.072,-14.188
23	-44.815,53.716,-54.746,38.471,-53.333,25.066,49.416,-56.257,-88.011,-73.805
24	21.199,69.889,-91.001,46.830,-31.736,-4.294,85.772,-33.606,-6.933,-97.264
25	-83.680,-48.282,-94.430,26.275,-14.720,9.629,-65.071,-40.814,32.765,93.061
26	-89.917,78.077,15.376,12.784,0.056,-86.121,-82.025,20.182,-31.808,83.454
27	-18.682,-71.344,42.944,-41.329,5.094,39.567,80.053,58.438,35.272,35.927
28	89.185,-40.835,-99.778,-45.609,-56.422,32.367,26.742,18.692,-96.751,45.756
29	-35.294,33.011,11.316,-31.454,-73.085,-81.116,66.304,83.680,29.958,-79.313
30	-19.595,45.788,55.964,-76.356,-99.994,42.427,-28.681,-49.104,-97.421,8.060
31	70.230,91.526,13.149,2.892,-82.989,9.775,-24.004,21.427,-22.255,-51.940
