1	64.102,52.007,-90.247,68.746,-12.391,-31.521,9.295,-81.729,51.329,16.487
2	-62.682,-62.354,-63.150,-88.600,17.560,68.070,-96.500,-90.199,14.554,63.899
3	-34.652,-30.077,19.269,-45.157,-94.678,47.046,25.130,16.151,48.337,35.046
4	-58.824,-29.504,-74.778,-74.029,35.239,71.720,92.547,25.669,-63.180,-78.870
5	62.570,15.751,23.657,56.292,40.655,66.892,-88.757,49.504,70.171,-42.773
6	28.089,-37.168,91.594,-93.315,15.959,-66.699,42.444,-64.822,-52.923,-1.126
7	82.967,-57.657,-71.152,51.795,0.124,82.357,-70.677,29.186,-53.424,-68.648
8	36.686,18.737,50.965,-38.107,-10.406,-18.906,96.818,-41.550,-41.037,-29.090
9	12.919,-49.535,83.058,-46.863,79.163,-79.305,31.313,81.397,-66.250,93.665
10	-9.423,89.143,35.364,-39.683,-62.339,-39.253,-81.397,-71.226,-79.068,-15.411
11	59.116,-71.723,-73.936,28.686,-60.563,-80.478,-66.630,84.746,64.294,-29.187
12	31.164,7.455,35.425,36.534,25.747,-46.780,-92.199,-8.887,78.195,13.899
13	66.478,98.325,-67.277,38.356,34.859,95.991,97.120,37.336,-51.277,59.711
14	-78.594,56.140,82.039,-23.433,26.127,-13.971,-12.447,-37.926,52.426,87.235
15	88.150,-65.044,74.949,47.486,-49.433,-86.543,-46.401,82.442,26.636,44.211
16	-48.570,43.878,-94.376,-24.936,25.351,-70.781,64.601,-52.994,30.456,-18.961
17	19.209,-78.510,-96.617,81.913,-46.074,63.935,99.870,-57.714,-46.966,32.572
18	93.090,83.163,0.575,59.022,-72.851,95.488,92.871,-67.254,-40.115,-79.969
19	-45.656,63.191,-24.337,-82.321,-31.555,96.277,25.937,-16.768,-66.692,97.235
20	64.170,-43.705,-85.986,-88.675,-75.924,16.154,85.753,-0.651,68.589,-10.823
21	41.717,46.375,-65.207,-27.757,27.460,-85.861,-27.692,6.960,99.245,-5.093
22	63.211,-13.587,59.278,19.083,77.319,-17.811,20.861,26.004,-16.523,-71.138
23	-81.288,-96.666,74.707,-52.705,-57.699,47.207,-35.997,1.209,-67.498,91.949
24	70.316,72.758,-18.645,52.472,-71.225,-98.276,-96.005,17.320,-8.921,3.603
25	-98.507,-15.463,43.614,-11.461,46.444,-53.396,62.628,17.686,-57.847,-52.656
26	25.606,65.988,-16.874,-48.340,73.402,33.854,-10.383,-2.420,-59.149,25.361
27	-28.251,99.129,-3.963,-2.823,13.170,83.351,60.164,-9.774,43.740,17.247
28	-1.527,-61.537,-7.213,-50.836,82.968,-32.919,90.453,6.611,26.309,8.588
29	-74.124,-24.836,-80.171,24.591,-10.625,55.597,-55.906,-67.087,-18.734,85.317
30	42.084,-16.215,3.454,-83.157,96.915,33.281,-42.919,17.162,-78.104,93.167
31	-65.043,29.606,-50.909,43.512,55.364,34.684,22.900,78.494,-84.275,-33.817
