x_value,mean
1,-1081.9837994003396
2,-703.1328146165181
3,-357.579749590372
4,-382.620521177427
5,-337.0919448919283
6,-185.61348691927
7,-912.8573739743372
8,-656.7889979935652
9,-884.7360096013401
10,-604.9748272222275
11,-118.0753575736
12,-1002.479078701341
13,3744.5093326472074
14,-23.314052280390055
15,-228.17599216293914
16,-4400.699999999999
17,-4405.459275112937
18,-4401.664516129031
19,-4472.612903225806
20,-99.99188085061542
21,-44.99999999999999
22,-949.9572024509565
23,-100.0
24,-68.17257149192062
