x_value,mean
1,-1081.9837994003367
2,-702.8666719872084
3,-357.5797486629508
4,-382.6205211774179
5,-337.00161637541737
6,-185.60279628623434
7,-912.857373974334
8,-656.7889979935617
9,-884.7360096015187
10,-604.974827222224
11,-118.07535757359683
12,-1002.4790787013378
13,1416.2342593365677
14,-188.9877161914827
15,-228.22099976159754
16,-4999.999999999997
17,-4938.757217177942
18,-4528.356410256406
19,-4408.523529411759
20,-99.99862318679011
21,-45.0
22,-999.999999999978
23,-99.99997434886231
24,-95.15073627130187
