x_value,mean
1,-1081.9837353151847
2,-702.5159877869548
3,-357.5785703315834
4,661738.3912647788
5,-335.9292247427776
6,-185.05805395846298
7,-912.8572922531185
8,-656.7889174739116
9,-812.2320962514339
10,-604.8384352947671
11,-82.58797687853003
12,-988.3077304458687
13,6546.729399209488
14,460.07852323575776
15,-227.99813735062162
16,-4926.745083667474
17,-4423.672040445219
18,-4448.721633106645
19,-4484.613163151686
20,-98.22534865116148
21,-44.857520773393254
22,1551.9458092775365
23,-99.86196704447845
24,-50.7345653695765
