1	-10.854,67.224,-47.007,-10.273,7.538,32.725,56.794,-21.039,29.209,-69.878
2	86.530,-23.388,45.904,-95.932,-58.963,-2.583,75.650,5.451,85.974,-3.241
3	-1.910,-76.051,60.531,-50.607,79.922,82.165,88.662,4.046,35.419,55.703
4	-73.797,20.191,-93.140,-0.487,-69.031,-63.415,-26.990,-13.513,24.634,-85.114
5	0.738,-63.475,14.795,27.481,11.342,47.659,-32.878,53.021,-13.447,-3.163
6	29.620,-96.328,30.799,23.717,-38.031,-82.841,-81.813,84.645,37.856,-74.579
7	-28.655,18.497,67.114,-91.268,-52.673,77.950,-98.167,-59.720,91.805,22.680
8	-47.666,-86.602,-94.362,-51.051,76.297,-16.817,44.067,83.657,-18.392,-61.745
9	3.424,81.617,60.875,-86.834,38.515,14.380,81.493,-75.504,6.807,75.893
10	-17.995,-3.601,-85.908,-44.371,-35.099,89.024,-43.467,-7.826,34.261,-67.563
11	-2.712,47.708,73.371,25.252,33.811,-74.743,89.155,-73.485,54.935,-47.037
12	86.719,43.992,50.763,-56.188,-11.392,23.563,53.995,-79.208,92.473,78.044
13	-45.930,64.552,3.665,-7.639,-37.113,16.194,45.978,-17.813,25.844,39.863
14	42.224,-89.607,71.950,-8.349,-47.517,-51.647,-3.397,77.366,-24.330,49.945
15	-80.636,-4.789,98.337,54.088,-57.894,0.288,-53.275,-18.088,56.017,54.245
16	-54.380,84.445,18.514,-24.015,0.387,21.014,11.978,-2.719,0.987,-64.718
17	62.547,8.352,-73.784,53.231,86.489,89.461,-26.196,-72.897,3.680,-77.478
18	86.797,-63.284,-49.447,-18.673,-23.367,58.933,-8.737,-65.846,-46.558,1.823
19	-70.509,22.331,13.149,42.940,87.541,82.451,89.215,-51.057,-73.687,-39.545
20	79.017,94.411,71.865,-77.996,89.486,-15.328,-98.138,-11.521,-90.786,8.776
21	-32.289,-5.313,22.634,73.760,32.380,-13.190,63.886,81.116,-76.048,6.387
22	-43.098,-90.588,33.709,72.554,-67.419,62.483,70.679,82.868,-46.943,80.791
23	-35.867,10.468,-89.899,-91.224,44.075,-11.104,-48.742,-61.917,33.991,-99.920
24	61.178,-84.150,-61.702,-22.753,-3.028,-29.001,-35.858,92.783,28.316,-95.313
25	-13.965,75.002,-39.709,-81.089,51.677,21.203,14.063,-89.285,-71.900,24.510
26	-58.435,0.814,8.976,-43.299,89.685,68.493,44.475,-84.401,-78.774,-1.444
27	-67.857,95.653,-68.296,-2.506,-27.176,27.877,-74.193,-13.937,-45.059,77.550
28	-91.883,82.745,66.599,-40.486,57.858,-93.757,93.373,5.319,-39.344,-27.483
29	-86.719,97.870,-92.142,30.981,-11.453,89.783,-50.800,6.417,-3.529,40.573
30	-86.398,-61.242,-57.087,47.630,-62.172,14.698,-56.951,72.325,88.437,3.699
31	-29.538,-53.188,-90.044,-46.300,30.847,6.723,88.808,-20.745,38.773,-2.135
