1	-17.174,65.508,46.723,53.861,-97.794,-16.769,-3.731,-96.162,-48.037,52.058
2	-72.578,7.062,-56.960,-97.576,-51.760,95.175,60.307,91.915,-2.429,-78.053
3	9.592,-9.125,68.871,-80.383,-2.352,-69.990,-35.065,47.471,-4.796,-24.822
4	-21.105,-8.111,57.003,78.417,91.067,57.381,-36.919,37.627,-12.479,-49.066
5	68.174,-92.315,80.352,-7.705,27.440,31.871,79.024,27.334,22.787,-86.670
6	3.682,-69.966,47.487,2.444,36.046,-91.665,-83.042,43.265,-85.583,-85.749
7	-97.578,91.300,47.502,-29.350,-40.693,-30.059,54.931,32.274,-62.961,-65.178
8	-80.321,32.061,52.875,-46.991,-95.811,-83.566,93.572,-40.911,53.845,24.933
9	-23.612,-58.863,-75.723,23.003,54.927,28.781,6.060,-91.610,93.698,59.743
10	-41.436,95.994,20.376,16.485,49.615,62.354,31.296,-74.381,-32.346,85.617
11	-55.077,-25.567,-13.585,-12.119,22.588,88.615,-51.861,-75.700,-60.506,77.385
12	29.162,-42.819,63.189,72.274,69.303,83.785,-49.552,51.008,-7.892,68.400
13	45.698,55.289,31.232,-64.514,9.005,96.934,87.478,-91.365,-67.037,-73.654
14	45.196,63.557,-57.298,1.171,68.141,46.560,8.447,18.070,1.672,-40.490
15	13.004,37.777,74.665,27.258,52.224,-67.986,-7.689,-98.134,-50.664,45.292
16	98.362,-80.164,-19.701,60.014,-59.193,11.017,46.614,23.197,-62.395,-28.923
17	56.758,10.845,-98.954,52.198,-92.938,49.147,-59.504,91.615,-26.412,-34.614
18	-70.222,-38.879,75.330,99.267,-26.338,-10.278,44.414,77.239,18.609,-21.695
19	-17.476,39.124,-99.356,23.918,-28.901,58.839,-81.402,17.640,-3.805,28.465
20	-87.029,15.997,12.297,12.132,20.698,35.294,60.998,-46.036,65.010,-0.349
21	-84.588,-88.290,-33.152,56.979,41.536,57.723,3.454,-11.960,-70.509,-34.361
22	-13.196,-82.280,-55.878,19.645,47.133,99.670,86.623,28.513,-15.750,27.235
23	57.130,-76.333,-18.019,67.960,-23.233,14.374,17.554,-63.105,-27.553,-33.098
24	-94.761,-95.162,66.339,-45.386,3.616,-40.255,88.136,-48.141,-14.069,74.546
25	68.387,-62.780,60.529,-8.363,-3.406,-73.304,-83.880,45.588,-0.708,-12.630
26	45.902,53.103,-68.218,22.045,-72.929,50.275,31.391,91.323,-86.208,-88.589
27	-43.563,-47.659,-50.604,81.251,-50.091,-45.610,51.880,-10.052,55.342,-86.927
28	-2.486,-93.277,-87.469,81.287,-72.151,6.484,-17.781,-30.531,79.967,-95.635
29	32.758,92.679,12.034,87.364,-89.548,-16.241,-47.968,46.164,96.259,-48.694
30	30.835,-60.380,13.066,-7.214,94.401,21.705,-30.099,-77.181,-69.751,-54.937
31	-49.807,70.123,12.245,4.678,-77.046,72.028,44.563,-86.466,41.567,8.708
