x_value,mean
1,-1081.9837993922297
2,-702.9669053779694
3,-357.5797495832207
4,-382.6205211675482
5,-337.4555282867167
6,-185.62771637782367
7,-912.8573739653007
8,-656.7889979845557
9,-748.2244231453149
10,-604.9748272131914
11,-117.09511080850976
12,-1001.8077557672841
13,22739.95067660095
14,-33.35052196657588
15,-226.93154317369965
16,-4999.999995061228
17,-4321.330111387132
18,-4987.889470496436
19,-4912.417971160702
20,-99.99999824488988
21,-44.99999999417438
22,-949.9999961887476
23,-99.990352066117
24,-62.06754043493479
